,PC1,PC2,PC3,Anomaly_Label,Anomaly_Score
165,-7712536714447.635,-680424469458.095,-216968694877.86008,1,0.06025192358203885
166,-7858251520502.446,-566782267293.556,-183635081292.34015,1,0.07034600016208009
167,-7977014078638.569,-468981265320.99554,-141104094294.1442,1,0.07682194126920933
168,-8041333586982.924,-358583932788.34375,-94777291241.28757,1,0.0848388671226698
169,-8059781104089.755,-184262089959.9349,-65743944634.10292,1,0.0815732760173446
170,-8022944059422.149,-52396177421.246124,-43275694866.29756,1,0.08225002221173883
171,-7941620087455.894,51375281291.465416,-2349715869.680316,1,0.0814133267077306
172,-7856005557937.072,119887479086.64394,48785547562.35179,1,0.0885770989377177
173,-7739854480087.33,212822054003.92206,107880102983.55188,1,0.08914132303979738
174,-7572003733786.078,323567781087.0978,172389971761.8809,1,0.07910762300129198
175,-7339353250742.211,440421674738.0106,206830053125.6478,1,0.0842971292673354
176,-7077997995641.503,506255731516.32404,215341043640.50162,1,0.08152234380549478
177,-6776000827425.847,535176741252.00964,222391059665.6216,1,0.08283200430488213
178,-6473193942419.037,556607313813.5128,237138014391.54858,1,0.07718079533635525
179,-6171443059526.136,535244150976.4977,249348230907.89355,1,0.06828013710635905
180,-5892353821943.181,474330676670.85895,280495147319.52966,1,0.0773103744139575
181,-5643696315799.964,352746834920.12854,318779903664.4557,1,0.08194789491421045
182,-5421485751151.267,247811949848.4579,349314396660.718,1,0.07199653031730463
183,-5214693724078.965,151080139159.74017,376296149327.15533,1,0.0663168204047801
184,-5016583319147.345,49536595722.32503,382934655883.02606,1,0.06957891074952693
185,-4837566489405.634,-48856458148.20904,380276262273.8445,1,0.0703262786376685
186,-4646334126547.776,-118781086090.40994,383973763295.0027,1,0.07619673064817101
187,-4461368205869.616,-113557868979.9098,377335206105.77246,1,0.07182181738275006
188,-4278475055634.3525,-89703923732.15501,340746256778.6087,1,0.08111419964205419
189,-4108570916706.036,-123713522625.63779,295158056408.87006,1,0.08272692800114273
190,-3982893048635.0815,-266523164994.4594,253301965728.7297,1,0.08323323209128253
191,-3905330536346.276,-439220424111.2319,225975781040.53427,1,0.073705694606926
192,-3912613486347.497,-654548588580.0852,214460629785.50272,1,0.07425768166624508
193,-3993940811841.8125,-870078465970.0094,219551202560.51355,1,0.08254537545353813
194,-4136180574423.805,-1019290759584.4073,245548412589.50427,1,0.08105143941671566
195,-4313729804322.767,-1097054896607.1722,276646082682.1031,1,0.07828221677361646
196,-4521213784340.78,-1107852291477.4072,295870313782.77405,1,0.0792770778616596
197,-4699172362351.623,-1056344021109.3743,305923134062.78375,1,0.08047687476384147
198,-4879679692325.209,-1027379083987.3566,290651852110.05676,1,0.07932666462385102
199,-5052054676044.071,-1045303729064.5135,260594759847.5814,1,0.07598856561884221
200,-5260789615871.268,-1091673436886.1213,242188103813.33707,1,0.07907854602969977
